original_path,distorted_path,family,member,distortion_type,seed,mean_disp,max_disp,param_alpha,param_sigma,param_grid_step
data/split/train/FAMILY-1/CHILD/FM001_C1.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C1_elastic.png,FAMILY-1,CHILD,elastic,4200000,7.78,18.64,13.518,6.654,32
data/split/train/FAMILY-1/CHILD/FM001_C1.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C1_local.png,FAMILY-1,CHILD,local,4200001,3.24,8.64,,,
data/split/train/FAMILY-1/CHILD/FM001_C1.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C1_bending.png,FAMILY-1,CHILD,bending,4200002,6.37,11.53,,,
data/split/train/FAMILY-1/CHILD/FM001_C2.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C2_elastic.png,FAMILY-1,CHILD,elastic,4200010,8.48,20.89,13.889,5.404,32
data/split/train/FAMILY-1/CHILD/FM001_C2.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C2_local.png,FAMILY-1,CHILD,local,4200011,2.75,5.39,,,
data/split/train/FAMILY-1/CHILD/FM001_C2.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C2_bending.png,FAMILY-1,CHILD,bending,4200012,5.14,9.31,,,
data/split/train/FAMILY-1/CHILD/FM001_C3.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C3_elastic.png,FAMILY-1,CHILD,elastic,4200020,6.49,14.85,11.337,6.795,32
data/split/train/FAMILY-1/CHILD/FM001_C3.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C3_local.png,FAMILY-1,CHILD,local,4200021,4.5,10.89,,,
data/split/train/FAMILY-1/CHILD/FM001_C3.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C3_bending.png,FAMILY-1,CHILD,bending,4200022,5.92,9.98,,,
data/split/train/FAMILY-1/CHILD/FM001_C4.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C4_elastic.png,FAMILY-1,CHILD,elastic,4200030,7.68,19.46,13.003,6.345,32
data/split/train/FAMILY-1/CHILD/FM001_C4.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C4_local.png,FAMILY-1,CHILD,local,4200031,2.79,5.34,,,
data/split/train/FAMILY-1/CHILD/FM001_C4.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C4_bending.png,FAMILY-1,CHILD,bending,4200032,4.67,8.24,,,
data/split/train/FAMILY-1/CHILD/FM001_C5.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C5_elastic.png,FAMILY-1,CHILD,elastic,4200040,7.67,21.64,12.875,5.023,32
data/split/train/FAMILY-1/CHILD/FM001_C5.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C5_local.png,FAMILY-1,CHILD,local,4200041,4.27,9.19,,,
