rank,filename,family,member,probability,logit,predicted_class,path
1,FM036_C4.png,FAMILY-36,CHILD,0.9326275327745638,2.6277694702148433,DISTORTED,data\split\test\FAMILY-36\CHILD\FM036_C4.png
2,FM036_F3.png,FAMILY-36,FATHER,0.917978467275722,2.4151921272277828,DISTORTED,data\split\test\FAMILY-36\FATHER\FM036_F3.png
3,FM054_C3.png,FAMILY-54,CHILD,0.8529077541424576,1.757591485977173,DISTORTED,data\split\test\FAMILY-54\CHILD\FM054_C3.png
4,FM036_C5.png,FAMILY-36,CHILD,0.844862882272666,1.694864988327026,DISTORTED,data\split\test\FAMILY-36\CHILD\FM036_C5.png
5,FM054_C4.png,FAMILY-54,CHILD,0.8407019543955183,1.6634602546691892,DISTORTED,data\split\test\FAMILY-54\CHILD\FM054_C4.png
6,FM036_M3.png,FAMILY-36,MOTHER,0.8333274928614091,1.6093958616256712,DISTORTED,data\split\test\FAMILY-36\MOTHER\FM036_M3.png
7,FM078_C3.png,FAMILY-78,CHILD,0.8317291024267951,1.5979316234588627,DISTORTED,data\split\test\FAMILY-78\CHILD\FM078_C3.png
8,FM065_F1.png,FAMILY-65,FATHER,0.8220801812334588,1.5305049419403076,DISTORTED,data\split\test\FAMILY-65\FATHER\FM065_F1.png
9,FM065_F5.png,FAMILY-65,FATHER,0.8167002294243663,1.4941492080688479,DISTORTED,data\split\test\FAMILY-65\FATHER\FM065_F5.png
10,FM036_C3.png,FAMILY-36,CHILD,0.8102570644419025,1.4516813755035398,DISTORTED,data\split\test\FAMILY-36\CHILD\FM036_C3.png
11,FM036_F5.png,FAMILY-36,FATHER,0.7292930793580653,0.9910389184951782,DISTORTED,data\split\test\FAMILY-36\FATHER\FM036_F5.png
12,FM065_M3.png,FAMILY-65,MOTHER,0.7258522296686205,0.9736791849136356,DISTORTED,data\split\test\FAMILY-65\MOTHER\FM065_M3.png
13,FM036_M4.png,FAMILY-36,MOTHER,0.7176559455326471,0.9328638911247256,DISTORTED,data\split\test\FAMILY-36\MOTHER\FM036_M4.png
14,FM078_C5.png,FAMILY-78,CHILD,0.6916240488065113,0.807722866535187,DISTORTED,data\split\test\FAMILY-78\CHILD\FM078_C5.png
15,FM054_C1.png,FAMILY-54,CHILD,0.689559139284638,0.7980590462684635,DISTORTED,data\split\test\FAMILY-54\CHILD\FM054_C1.png
16,FM036_C2.png,FAMILY-36,CHILD,0.6853152777324423,0.7783077359199526,DISTORTED,data\split\test\FAMILY-36\CHILD\FM036_C2.png
17,FM020_F5.png,FAMILY-20,FATHER,0.6809418911703284,0.7581037282943721,DISTORTED,data\split\test\FAMILY-20\FATHER\FM020_F5.png
