metric,key,fp_mean,tn_mean,diff_pct,train_clean_mean,t_stat,p_val,significant
Overall Mean Intensity (0-255),mean_intensity,218.24,208.91,4.5,201.4,3.23,0.0016,True
Overall Std Dev (Contrast),std_intensity,33.25,41.41,-19.7,55.13,-2.13,0.0364,True
P95 - P05 Pixel Range,contrast,91.08,110.8,-17.8,147.46,-2.06,0.0431,True
Image Shannon Entropy (bits),entropy,5.21,5.64,-7.6,5.79,-5.21,0.0,True
Foreground Pixel Area (%),fg_pct,21.14,23.73,-10.9,24.75,-1.52,0.1316,False
Foreground Mean Intensity,fg_mean,160.8,147.16,9.3,115.95,1.61,0.1121,False
Foreground Std Dev (Ridge Structure),fg_std,16.49,20.48,-19.5,24.61,-3.08,0.0029,True
Background Mean Intensity,bg_mean,235.06,232.06,1.3,231.71,3.39,0.001,True
Background Noise Std Dev,bg_std,11.67,18.45,-36.7,21.84,-5.64,0.0,True
Ridge-to-Background Contrast |Bg - Fg|,ridge_bg_contrast,74.26,84.9,-12.5,115.76,-1.27,0.2087,False
Foreground Bounding Box Area (px),bbox_area,15729.38,18474.94,-14.9,18409.28,-2.5,0.0142,True
Foreground Aspect Ratio (W/H),aspect_ratio,0.64,0.71,-8.9,0.67,-2.02,0.0456,True
