threshold,test_accuracy,test_precision,test_recall,test_f1,test_specificity,balanced_acc,bending_recall,elastic_recall,local_recall,real_clean_fps,real_clean_fpr
0.3,0.7978,0.7175,0.9822,0.8293,0.6133,0.7978,0.96,1.0,0.9867,87,0.3867
0.4,0.8333,0.766,0.96,0.8521,0.7067,0.8333,0.96,0.9867,0.9333,66,0.2933
0.48,0.8556,0.8077,0.9333,0.866,0.7778,0.8556,0.9333,0.9733,0.8933,50,0.2222
0.5,0.86,0.824,0.9156,0.8674,0.8044,0.86,0.92,0.9467,0.88,44,0.1956
0.55,0.8733,0.859,0.8933,0.8758,0.8533,0.8733,0.9067,0.9467,0.8267,33,0.1467
0.6,0.8711,0.8813,0.8578,0.8694,0.8844,0.8711,0.8667,0.9333,0.7733,26,0.1156
0.65,0.8644,0.8942,0.8267,0.8591,0.9022,0.8644,0.8267,0.92,0.7333,22,0.0978
0.7,0.8689,0.9323,0.7956,0.8585,0.9422,0.8689,0.8,0.8667,0.72,13,0.0578
0.75,0.8422,0.9425,0.7289,0.8221,0.9556,0.8422,0.7333,0.7867,0.6667,10,0.0444
0.8,0.8111,0.9375,0.6667,0.7792,0.9556,0.8111,0.6667,0.6933,0.64,10,0.0444
