threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,roc_auc,tp,fp,tn,fn
0.05,0.5311,0.5161,1.0,0.6808,0.0622,0.5311,0.9813,225,211,14,0
0.06,0.5378,0.5196,1.0,0.6839,0.0756,0.5378,0.9813,225,208,17,0
0.07,0.5556,0.5294,1.0,0.6923,0.1111,0.5556,0.9813,225,200,25,0
0.08,0.5867,0.5474,1.0,0.7075,0.1733,0.5867,0.9813,225,186,39,0
0.09,0.5956,0.5528,1.0,0.712,0.1911,0.5956,0.9813,225,182,43,0
0.1,0.6111,0.5625,1.0,0.72,0.2222,0.6111,0.9813,225,175,50,0
0.11,0.6222,0.5696,1.0,0.7258,0.2444,0.6222,0.9813,225,170,55,0
0.12,0.6378,0.5799,1.0,0.7341,0.2756,0.6378,0.9813,225,163,62,0
0.13,0.6489,0.5875,1.0,0.7401,0.2978,0.6489,0.9813,225,158,67,0
0.14,0.6644,0.5984,1.0,0.7488,0.3289,0.6644,0.9813,225,151,74,0
0.15,0.6778,0.6081,1.0,0.7563,0.3556,0.6778,0.9813,225,145,80,0
0.16,0.6956,0.6215,1.0,0.7666,0.3911,0.6956,0.9813,225,137,88,0
0.17,0.7156,0.6382,0.9956,0.7778,0.4356,0.7156,0.9813,224,127,98,1
0.18,0.7378,0.6569,0.9956,0.7915,0.48,0.7378,0.9813,224,117,108,1
0.19,0.7578,0.6747,0.9956,0.8043,0.52,0.7578,0.9813,224,108,117,1
0.2,0.7733,0.6904,0.9911,0.8139,0.5556,0.7733,0.9813,223,100,125,2
0.21,0.7844,0.7013,0.9911,0.8214,0.5778,0.7844,0.9813,223,95,130,2
0.22,0.7978,0.7147,0.9911,0.8305,0.6044,0.7978,0.9813,223,89,136,2
0.23,0.8156,0.7336,0.9911,0.8431,0.64,0.8156,0.9813,223,81,144,2
0.24,0.8289,0.7483,0.9911,0.8528,0.6667,0.8289,0.9813,223,75,150,2
0.25,0.8378,0.7585,0.9911,0.8593,0.6844,0.8378,0.9813,223,71,154,2
0.26,0.8511,0.7762,0.9867,0.8689,0.7156,0.8511,0.9813,222,64,161,3
0.27,0.8622,0.79,0.9867,0.8775,0.7378,0.8622,0.9813,222,59,166,3
0.28,0.86,0.7935,0.9733,0.8743,0.7467,0.86,0.9813,219,57,168,6
0.29,0.8689,0.8051,0.9733,0.8813,0.7644,0.8689,0.9813,219,53,172,6
0.3,0.8711,0.8104,0.9689,0.8826,0.7733,0.8711,0.9813,218,51,174,7
0.31,0.88,0.8226,0.9689,0.8898,0.7911,0.88,0.9813,218,47,178,7
0.32,0.8911,0.8385,0.9689,0.899,0.8133,0.8911,0.9813,218,42,183,7
0.33,0.9,0.8516,0.9689,0.9064,0.8311,0.9,0.9813,218,38,187,7
0.34,0.9044,0.8583,0.9689,0.9102,0.84,0.9044,0.9813,218,36,189,7
0.35,0.9111,0.8685,0.9689,0.916,0.8533,0.9111,0.9813,218,33,192,7
0.36,0.92,0.8826,0.9689,0.9237,0.8711,0.92,0.9813,218,29,196,7
0.37,0.92,0.8889,0.96,0.9231,0.88,0.92,0.9813,216,27,198,9
0.38,0.9244,0.8963,0.96,0.927,0.8889,0.9244,0.9813,216,25,200,9
0.39,0.9289,0.9038,0.96,0.931,0.8978,0.9289,0.9813,216,23,202,9
0.4,0.9267,0.9034,0.9556,0.9287,0.8978,0.9267,0.9813,215,23,202,10
0.41,0.9311,0.911,0.9556,0.9328,0.9067,0.9311,0.9813,215,21,204,10
0.42,0.9289,0.9142,0.9467,0.9301,0.9111,0.9289,0.9813,213,20,205,12
0.43,0.9267,0.9138,0.9422,0.9278,0.9111,0.9267,0.9813,212,20,205,13
0.44,0.9311,0.9217,0.9422,0.9319,0.92,0.9311,0.9813,212,18,207,13
0.45,0.9333,0.9258,0.9422,0.9339,0.9244,0.9333,0.9813,212,17,208,13
0.46,0.9356,0.9298,0.9422,0.936,0.9289,0.9356,0.9813,212,16,209,13
0.47,0.9356,0.9336,0.9378,0.9357,0.9333,0.9356,0.9813,211,15,210,14
0.48,0.9444,0.9505,0.9378,0.9441,0.9511,0.9444,0.9813,211,11,214,14
0.49,0.94,0.95,0.9289,0.9393,0.9511,0.94,0.9813,209,11,214,16
0.5,0.94,0.95,0.9289,0.9393,0.9511,0.94,0.9813,209,11,214,16
0.51,0.94,0.95,0.9289,0.9393,0.9511,0.94,0.9813,209,11,214,16
0.52,0.94,0.95,0.9289,0.9393,0.9511,0.94,0.9813,209,11,214,16
0.53,0.9378,0.9498,0.9244,0.9369,0.9511,0.9378,0.9813,208,11,214,17
0.54,0.9378,0.9498,0.9244,0.9369,0.9511,0.9378,0.9813,208,11,214,17
0.55,0.9378,0.9539,0.92,0.9367,0.9556,0.9378,0.9813,207,10,215,18
0.56,0.9378,0.9539,0.92,0.9367,0.9556,0.9378,0.9813,207,10,215,18
0.57,0.9378,0.9581,0.9156,0.9364,0.96,0.9378,0.9813,206,9,216,19
0.58,0.9378,0.9624,0.9111,0.9361,0.9644,0.9378,0.9813,205,8,217,20
0.59,0.94,0.967,0.9111,0.9382,0.9689,0.94,0.9813,205,7,218,20
