filename,type,distorted_mae,rectified_mae,mae_improvement_percent,distorted_rmse,rectified_rmse,rmse_improvement_percent
FAMILY-12__CHILD__FM012_C1__bending.png,bending,15.94876,9.262735,41.92191,27.567919,15.544785,43.612774
FAMILY-12__CHILD__FM012_C1__elastic.png,elastic,13.44047,12.169862,9.453598,23.453926,20.522087,12.500419
FAMILY-12__CHILD__FM012_C1__local.png,local,13.380241,17.199677,-28.545338,23.34034,29.350769,-25.751251
FAMILY-12__CHILD__FM012_C2__bending.png,bending,14.865792,13.577686,8.664899,27.678457,25.172369,9.054292
FAMILY-12__CHILD__FM012_C2__elastic.png,elastic,15.415298,14.417909,6.4701295,29.621016,26.79844,9.528959
FAMILY-12__CHILD__FM012_C2__local.png,local,11.146724,12.570592,-12.773871,20.817171,22.581202,-8.47392
FAMILY-12__CHILD__FM012_C3__bending.png,bending,17.254305,15.930664,7.6713657,31.73029,28.497793,10.187415
FAMILY-12__CHILD__FM012_C3__elastic.png,elastic,14.360611,15.08239,-5.026101,25.93343,27.432384,-5.7800097
FAMILY-12__CHILD__FM012_C3__local.png,local,12.39497,14.086635,-13.647993,22.46038,25.576702,-13.87475
FAMILY-12__CHILD__FM012_C4__bending.png,bending,13.455875,15.472656,-14.988107,24.180862,28.162968,-16.468004
FAMILY-12__CHILD__FM012_C4__elastic.png,elastic,13.877092,14.292471,-2.993268,25.542112,26.34435,-3.1408463
FAMILY-12__CHILD__FM012_C4__local.png,local,11.629803,13.926478,-19.748192,21.841558,25.393171,-16.260803
FAMILY-12__CHILD__FM012_C5__bending.png,bending,15.353057,15.493045,-0.911792,26.585863,26.978193,-1.4757098
FAMILY-12__CHILD__FM012_C5__elastic.png,elastic,20.46879,19.035654,7.001567,35.802986,33.120758,7.4916325
FAMILY-12__CHILD__FM012_C5__local.png,local,13.93463,16.558115,-18.827084,24.580328,29.159561,-18.629667
FAMILY-12__FATHER__FM012_F1__bending.png,bending,12.814135,13.992407,-9.195098,25.6476,27.056198,-5.4921236
FAMILY-12__FATHER__FM012_F1__elastic.png,elastic,13.226722,13.730807,-3.8111145,26.604153,27.106432,-1.8879732
FAMILY-12__FATHER__FM012_F1__local.png,local,12.453703,13.614517,-9.321037,25.4736,27.020113,-6.0710406
FAMILY-12__FATHER__FM012_F2__bending.png,bending,10.891442,6.126136,43.752758,23.24012,14.160963,39.06674
FAMILY-12__FATHER__FM012_F2__elastic.png,elastic,10.14792,10.258809,-1.0927308,21.653368,22.800283,-5.2967067
FAMILY-12__FATHER__FM012_F2__local.png,local,7.5225406,8.297134,-10.296971,15.998916,18.724741,-17.037563
FAMILY-12__FATHER__FM012_F3__bending.png,bending,8.369599,8.320292,0.5891186,17.950579,21.034082,-17.17774
