split,condition,n_pairs,genuine_count,impostor_count,genuine_mean,genuine_median,impostor_mean,impostor_median,score_separation,roc_auc,eer,threshold_from_validation,tp,tn,fp,fn,accuracy,precision,recall_tpr,specificity,f1,far,frr,distortion,variant
validation,clean_to_clean,765,450,315,0.06480000000000001,0.0,0.06628571428571428,0.0,-0.0014857142857142708,0.4733721340388007,0.5280952380952382,0.04,129,207,108,321,0.4392156862745098,0.5443037974683544,0.2866666666666667,0.6571428571428571,0.37554585152838427,0.34285714285714286,0.7133333333333334,,
test,clean_to_clean,765,450,315,0.07071111111111111,0.0,0.0453968253968254,0.0,0.025314285714285713,0.5434109347442682,0.4604761904761905,0.04,136,245,70,314,0.4980392156862745,0.6601941747572816,0.3022222222222222,0.7777777777777778,0.4146341463414634,0.2222222222222222,0.6977777777777778,clean,clean
validation,distorted_elastic,765,450,315,0.048400000000000006,0.0,0.0533968253968254,0.0,-0.004996825396825395,0.4745255731922399,0.5252380952380953,0.04,123,213,102,327,0.4392156862745098,0.5466666666666666,0.2733333333333333,0.6761904761904762,0.36444444444444446,0.3238095238095238,0.7266666666666667,,
test,distorted_elastic,765,450,315,0.06373333333333334,0.0,0.03466666666666667,0.0,0.029066666666666664,0.5538306878306879,0.4517460317460318,0.04,142,247,68,308,0.5084967320261438,0.6761904761904762,0.31555555555555553,0.7841269841269841,0.4303030303030303,0.21587301587301588,0.6844444444444444,elastic,distorted
validation,r2_elastic,765,450,315,0.04462222222222223,0.0,0.050793650793650794,0.0,-0.006171428571428564,0.4738730158730159,0.5255555555555556,0.02,117,217,98,333,0.4366013071895425,0.5441860465116279,0.26,0.6888888888888889,0.3518796992481203,0.3111111111111111,0.74,,
test,r2_elastic,765,450,315,0.05266666666666667,0.0,0.03193650793650794,0.0,0.02073015873015873,0.5391569664902999,0.4649206349206349,0.02,123,251,64,327,0.4888888888888889,0.6577540106951871,0.2733333333333333,0.7968253968253968,0.38618524332810045,0.20317460317460317,0.7266666666666667,elastic,r2
validation,distorted_local,765,450,315,0.05493333333333334,0.0,0.05587301587301588,0.0,-0.000939682539682539,0.4919964726631393,0.5063492063492063,0.04,120,227,88,330,0.45359477124183006,0.5769230769230769,0.26666666666666666,0.7206349206349206,0.364741641337386,0.27936507936507937,0.7333333333333333,,
test,distorted_local,765,450,315,0.06080000000000001,0.0,0.03568253968253969,0.0,0.025117460317460316,0.5428183421516756,0.4626984126984127,0.04,134,245,70,316,0.4954248366013072,0.6568627450980392,0.29777777777777775,0.7777777777777778,0.40978593272171254,0.2222222222222222,0.7022222222222222,local,distorted
validation,r2_local,765,450,315,0.05071111111111111,0.0,0.05041269841269841,0.0,0.00029841269841270057,0.4927795414462081,0.5044444444444445,0.04,116,231,84,334,0.45359477124183006,0.58,0.2577777777777778,0.7333333333333333,0.3569230769230769,0.26666666666666666,0.7422222222222222,,
test,r2_local,765,450,315,0.056666666666666664,0.0,0.03377777777777778,0.0,0.022888888888888882,0.5462645502645503,0.45698412698412694,0.04,131,249,66,319,0.49673202614379086,0.6649746192893401,0.2911111111111111,0.7904761904761904,0.40494590417310666,0.20952380952380953,0.7088888888888889,local,r2
validation,distorted_bending,765,450,315,0.057155555555555564,0.0,0.06482539682539683,0.0,-0.007669841269841264,0.4725114638447972,0.5241269841269841,0.02,124,213,102,326,0.44052287581699345,0.5486725663716814,0.27555555555555555,0.6761904761904762,0.3668639053254438,0.3238095238095238,0.7244444444444444,,
test,distorted_bending,765,450,315,0.0632888888888889,0.0,0.03549206349206349,0.0,0.027796825396825403,0.5578518518518518,0.44698412698412693,0.02,142,249,66,308,0.5111111111111111,0.6826923076923077,0.31555555555555553,0.7904761904761904,0.4316109422492401,0.20952380952380953,0.6844444444444444,bending,distorted
validation,r2_bending,765,450,315,0.041022222222222224,0.0,0.04888888888888889,0.0,-0.007866666666666668,0.48356966490299824,0.513968253968254,0.02,106,232,83,344,0.4418300653594771,0.5608465608465608,0.23555555555555555,0.7365079365079366,0.3317683881064163,0.2634920634920635,0.7644444444444445,,
test,r2_bending,765,450,315,0.05280000000000001,0.0,0.028444444444444446,0.0,0.02435555555555556,0.5438447971781306,0.46238095238095234,0.02,121,254,61,329,0.49019607843137253,0.6648351648351648,0.2688888888888889,0.8063492063492064,0.3829113924050633,0.19365079365079366,0.7311111111111112,bending,r2
