split,condition,n_pairs,genuine_count,impostor_count,genuine_mean,genuine_median,impostor_mean,impostor_median,score_separation,roc_auc,eer,threshold_from_validation,tp,tn,fp,fn,accuracy,precision,recall_tpr,specificity,f1,far,frr,distortion,variant
validation,clean_to_clean,765,450,315,0.06480000000000001,0.0,0.06628571428571428,0.0,-0.0014857142857142708,0.4733721340388007,0.5280952380952382,0.04,129,207,108,321,0.4392156862745098,0.5443037974683544,0.2866666666666667,0.6571428571428571,0.37554585152838427,0.34285714285714286,0.7133333333333334,,
test,clean_to_clean,765,450,315,0.07106666666666668,0.0,0.04526984126984127,0.0,0.025796825396825408,0.5473086419753087,0.45603174603174607,0.04,140,245,70,310,0.5032679738562091,0.6666666666666666,0.3111111111111111,0.7777777777777778,0.42424242424242425,0.2222222222222222,0.6888888888888889,clean,clean
validation,distorted_elastic,765,450,315,0.04822222222222223,0.0,0.05346031746031747,0.0,-0.005238095238095243,0.47437037037037044,0.5252380952380953,0.04,123,213,102,327,0.4392156862745098,0.5466666666666666,0.2733333333333333,0.6761904761904762,0.36444444444444446,0.3238095238095238,0.7266666666666667,,
test,distorted_elastic,765,450,315,0.06417777777777778,0.0,0.03479365079365079,0.0,0.029384126984126985,0.555936507936508,0.44952380952380955,0.04,144,247,68,306,0.5111111111111111,0.6792452830188679,0.32,0.7841269841269841,0.4350453172205438,0.21587301587301588,0.68,elastic,distorted
validation,rectified_elastic,765,450,315,0.03991111111111111,0.0,0.04247619047619049,0.0,-0.0025650793650793743,0.4723068783068783,0.5293650793650794,0.04,105,223,92,345,0.4287581699346405,0.5329949238578681,0.23333333333333334,0.707936507936508,0.32457496136012365,0.2920634920634921,0.7666666666666667,,
test,rectified_elastic,765,450,315,0.05444444444444444,0.0,0.037015873015873016,0.0,0.017428571428571425,0.5440282186948854,0.45777777777777773,0.04,128,253,62,322,0.4980392156862745,0.6736842105263158,0.28444444444444444,0.8031746031746032,0.4,0.19682539682539682,0.7155555555555555,elastic,rectified
validation,distorted_local,765,450,315,0.05493333333333334,0.0,0.05587301587301588,0.0,-0.000939682539682539,0.4919964726631393,0.5063492063492063,0.04,120,227,88,330,0.45359477124183006,0.5769230769230769,0.26666666666666666,0.7206349206349206,0.364741641337386,0.27936507936507937,0.7333333333333333,,
test,distorted_local,765,450,315,0.06151111111111112,0.0,0.03568253968253969,0.0,0.02582857142857143,0.5447019400352734,0.4604761904761905,0.04,136,245,70,314,0.4980392156862745,0.6601941747572816,0.3022222222222222,0.7777777777777778,0.4146341463414634,0.2222222222222222,0.6977777777777778,local,distorted
validation,rectified_local,765,450,315,0.04551111111111111,0.0,0.0533968253968254,0.0,-0.007885714285714288,0.4932098765432099,0.49777777777777776,0.02,122,231,84,328,0.46143790849673205,0.5922330097087378,0.27111111111111114,0.7333333333333333,0.3719512195121951,0.26666666666666666,0.7288888888888889,,
test,rectified_local,765,450,315,0.054977777777777785,0.0,0.030539682539682544,0.0,0.02443809523809524,0.5462610229276896,0.45825396825396825,0.02,129,251,64,321,0.49673202614379086,0.6683937823834197,0.2866666666666667,0.7968253968253968,0.401244167962675,0.20317460317460317,0.7133333333333334,local,rectified
validation,distorted_bending,765,450,315,0.057155555555555564,0.0,0.06482539682539683,0.0,-0.007669841269841264,0.4725502645502646,0.5241269841269841,0.02,124,213,102,326,0.44052287581699345,0.5486725663716814,0.27555555555555555,0.6761904761904762,0.3668639053254438,0.3238095238095238,0.7244444444444444,,
test,distorted_bending,765,450,315,0.0632888888888889,0.0,0.03542857142857143,0.0,0.027860317460317467,0.5598236331569665,0.4447619047619047,0.02,144,249,66,306,0.5137254901960784,0.6857142857142857,0.32,0.7904761904761904,0.43636363636363634,0.20952380952380953,0.68,bending,distorted
validation,rectified_bending,765,450,315,0.0412,0.0,0.046920634920634925,0.0,-0.005720634920634925,0.4801798941798942,0.5203174603174603,0.02,106,228,87,344,0.4366013071895425,0.5492227979274611,0.23555555555555555,0.7238095238095238,0.3297045101088647,0.2761904761904762,0.7644444444444445,,
test,rectified_bending,765,450,315,0.05035555555555556,0.0,0.02253968253968254,0.0,0.027815873015873023,0.5548077601410936,0.44698412698412693,0.02,112,270,45,338,0.4993464052287582,0.7133757961783439,0.24888888888888888,0.8571428571428571,0.36902800658978585,0.14285714285714285,0.7511111111111111,bending,rectified
