split,condition,distortion,pair_type,label,probe_clean,probe,reference_clean,probe_family,reference_family,member,score
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C1.png,data/split/val/FAMILY-12/CHILD/FM012_C1.png,data/split/val/FAMILY-12/CHILD/FM012_C2.png,FAMILY-12,FAMILY-12,CHILD,0.38
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C1.png,data/split/val/FAMILY-12/CHILD/FM012_C1.png,data/split/val/FAMILY-12/CHILD/FM012_C3.png,FAMILY-12,FAMILY-12,CHILD,0.32
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C1.png,data/split/val/FAMILY-12/CHILD/FM012_C1.png,data/split/val/FAMILY-12/CHILD/FM012_C4.png,FAMILY-12,FAMILY-12,CHILD,0.32
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C1.png,data/split/val/FAMILY-12/CHILD/FM012_C1.png,data/split/val/FAMILY-12/CHILD/FM012_C5.png,FAMILY-12,FAMILY-12,CHILD,0.4
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C2.png,data/split/val/FAMILY-12/CHILD/FM012_C2.png,data/split/val/FAMILY-12/CHILD/FM012_C3.png,FAMILY-12,FAMILY-12,CHILD,0.44
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C2.png,data/split/val/FAMILY-12/CHILD/FM012_C2.png,data/split/val/FAMILY-12/CHILD/FM012_C4.png,FAMILY-12,FAMILY-12,CHILD,0.32
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C2.png,data/split/val/FAMILY-12/CHILD/FM012_C2.png,data/split/val/FAMILY-12/CHILD/FM012_C5.png,FAMILY-12,FAMILY-12,CHILD,0.5
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C3.png,data/split/val/FAMILY-12/CHILD/FM012_C3.png,data/split/val/FAMILY-12/CHILD/FM012_C4.png,FAMILY-12,FAMILY-12,CHILD,0.42
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C3.png,data/split/val/FAMILY-12/CHILD/FM012_C3.png,data/split/val/FAMILY-12/CHILD/FM012_C5.png,FAMILY-12,FAMILY-12,CHILD,0.62
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/CHILD/FM012_C4.png,data/split/val/FAMILY-12/CHILD/FM012_C4.png,data/split/val/FAMILY-12/CHILD/FM012_C5.png,FAMILY-12,FAMILY-12,CHILD,0.4
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F1.png,data/split/val/FAMILY-12/FATHER/FM012_F1.png,data/split/val/FAMILY-12/FATHER/FM012_F2.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F1.png,data/split/val/FAMILY-12/FATHER/FM012_F1.png,data/split/val/FAMILY-12/FATHER/FM012_F3.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F1.png,data/split/val/FAMILY-12/FATHER/FM012_F1.png,data/split/val/FAMILY-12/FATHER/FM012_F4.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F1.png,data/split/val/FAMILY-12/FATHER/FM012_F1.png,data/split/val/FAMILY-12/FATHER/FM012_F5.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F2.png,data/split/val/FAMILY-12/FATHER/FM012_F2.png,data/split/val/FAMILY-12/FATHER/FM012_F3.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F2.png,data/split/val/FAMILY-12/FATHER/FM012_F2.png,data/split/val/FAMILY-12/FATHER/FM012_F4.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F2.png,data/split/val/FAMILY-12/FATHER/FM012_F2.png,data/split/val/FAMILY-12/FATHER/FM012_F5.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F3.png,data/split/val/FAMILY-12/FATHER/FM012_F3.png,data/split/val/FAMILY-12/FATHER/FM012_F4.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F3.png,data/split/val/FAMILY-12/FATHER/FM012_F3.png,data/split/val/FAMILY-12/FATHER/FM012_F5.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/FATHER/FM012_F4.png,data/split/val/FAMILY-12/FATHER/FM012_F4.png,data/split/val/FAMILY-12/FATHER/FM012_F5.png,FAMILY-12,FAMILY-12,FATHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M1.png,data/split/val/FAMILY-12/MOTHER/FM012_M1.png,data/split/val/FAMILY-12/MOTHER/FM012_M2.png,FAMILY-12,FAMILY-12,MOTHER,0.12
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M1.png,data/split/val/FAMILY-12/MOTHER/FM012_M1.png,data/split/val/FAMILY-12/MOTHER/FM012_M3.png,FAMILY-12,FAMILY-12,MOTHER,0.12
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M1.png,data/split/val/FAMILY-12/MOTHER/FM012_M1.png,data/split/val/FAMILY-12/MOTHER/FM012_M4.png,FAMILY-12,FAMILY-12,MOTHER,0.14
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M1.png,data/split/val/FAMILY-12/MOTHER/FM012_M1.png,data/split/val/FAMILY-12/MOTHER/FM012_M5.png,FAMILY-12,FAMILY-12,MOTHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M2.png,data/split/val/FAMILY-12/MOTHER/FM012_M2.png,data/split/val/FAMILY-12/MOTHER/FM012_M3.png,FAMILY-12,FAMILY-12,MOTHER,0.24
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M2.png,data/split/val/FAMILY-12/MOTHER/FM012_M2.png,data/split/val/FAMILY-12/MOTHER/FM012_M4.png,FAMILY-12,FAMILY-12,MOTHER,0.16
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M2.png,data/split/val/FAMILY-12/MOTHER/FM012_M2.png,data/split/val/FAMILY-12/MOTHER/FM012_M5.png,FAMILY-12,FAMILY-12,MOTHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M3.png,data/split/val/FAMILY-12/MOTHER/FM012_M3.png,data/split/val/FAMILY-12/MOTHER/FM012_M4.png,FAMILY-12,FAMILY-12,MOTHER,0.24
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M3.png,data/split/val/FAMILY-12/MOTHER/FM012_M3.png,data/split/val/FAMILY-12/MOTHER/FM012_M5.png,FAMILY-12,FAMILY-12,MOTHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-12/MOTHER/FM012_M4.png,data/split/val/FAMILY-12/MOTHER/FM012_M4.png,data/split/val/FAMILY-12/MOTHER/FM012_M5.png,FAMILY-12,FAMILY-12,MOTHER,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-31/CHILD/FM031_C1.png,data/split/val/FAMILY-31/CHILD/FM031_C1.png,data/split/val/FAMILY-31/CHILD/FM031_C2.png,FAMILY-31,FAMILY-31,CHILD,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-31/CHILD/FM031_C1.png,data/split/val/FAMILY-31/CHILD/FM031_C1.png,data/split/val/FAMILY-31/CHILD/FM031_C3.png,FAMILY-31,FAMILY-31,CHILD,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-31/CHILD/FM031_C1.png,data/split/val/FAMILY-31/CHILD/FM031_C1.png,data/split/val/FAMILY-31/CHILD/FM031_C4.png,FAMILY-31,FAMILY-31,CHILD,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-31/CHILD/FM031_C1.png,data/split/val/FAMILY-31/CHILD/FM031_C1.png,data/split/val/FAMILY-31/CHILD/FM031_C5.png,FAMILY-31,FAMILY-31,CHILD,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-31/CHILD/FM031_C2.png,data/split/val/FAMILY-31/CHILD/FM031_C2.png,data/split/val/FAMILY-31/CHILD/FM031_C3.png,FAMILY-31,FAMILY-31,CHILD,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-31/CHILD/FM031_C2.png,data/split/val/FAMILY-31/CHILD/FM031_C2.png,data/split/val/FAMILY-31/CHILD/FM031_C4.png,FAMILY-31,FAMILY-31,CHILD,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-31/CHILD/FM031_C2.png,data/split/val/FAMILY-31/CHILD/FM031_C2.png,data/split/val/FAMILY-31/CHILD/FM031_C5.png,FAMILY-31,FAMILY-31,CHILD,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-31/CHILD/FM031_C3.png,data/split/val/FAMILY-31/CHILD/FM031_C3.png,data/split/val/FAMILY-31/CHILD/FM031_C4.png,FAMILY-31,FAMILY-31,CHILD,0.0
validation,clean_to_clean,clean,genuine,1,data/split/val/FAMILY-31/CHILD/FM031_C3.png,data/split/val/FAMILY-31/CHILD/FM031_C3.png,data/split/val/FAMILY-31/CHILD/FM031_C5.png,FAMILY-31,FAMILY-31,CHILD,0.0
