type,label,image_a,image_b,family_a,family_b,member,score,raw_score,matched_pairs,decision,minutiae_a,minutiae_b
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C1.png,data/split/test/FAMILY-13/CHILD/FM013_C2.png,FAMILY-13,FAMILY-13,CHILD,0.14,7.0,0,False,66,46
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C1.png,data/split/test/FAMILY-13/CHILD/FM013_C3.png,FAMILY-13,FAMILY-13,CHILD,0.12,6.0,0,False,66,35
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C1.png,data/split/test/FAMILY-13/CHILD/FM013_C4.png,FAMILY-13,FAMILY-13,CHILD,0.12,6.0,0,False,66,27
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C1.png,data/split/test/FAMILY-13/CHILD/FM013_C5.png,FAMILY-13,FAMILY-13,CHILD,0.2,10.0,0,False,66,32
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C2.png,data/split/test/FAMILY-13/CHILD/FM013_C3.png,FAMILY-13,FAMILY-13,CHILD,0.1,5.0,0,False,46,35
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C2.png,data/split/test/FAMILY-13/CHILD/FM013_C4.png,FAMILY-13,FAMILY-13,CHILD,0.08,4.0,0,False,46,27
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C2.png,data/split/test/FAMILY-13/CHILD/FM013_C5.png,FAMILY-13,FAMILY-13,CHILD,0.14,7.0,0,False,46,32
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C3.png,data/split/test/FAMILY-13/CHILD/FM013_C4.png,FAMILY-13,FAMILY-13,CHILD,0.08,4.0,0,False,35,27
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C3.png,data/split/test/FAMILY-13/CHILD/FM013_C5.png,FAMILY-13,FAMILY-13,CHILD,0.1,5.0,0,False,35,32
genuine,1,data/split/test/FAMILY-13/CHILD/FM013_C4.png,data/split/test/FAMILY-13/CHILD/FM013_C5.png,FAMILY-13,FAMILY-13,CHILD,0.1,5.0,0,False,27,32
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F1.png,data/split/test/FAMILY-13/FATHER/FM013_F2.png,FAMILY-13,FAMILY-13,FATHER,0.24,12.0,0,False,40,62
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F1.png,data/split/test/FAMILY-13/FATHER/FM013_F3.png,FAMILY-13,FAMILY-13,FATHER,0.12,6.0,0,False,40,68
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F1.png,data/split/test/FAMILY-13/FATHER/FM013_F4.png,FAMILY-13,FAMILY-13,FATHER,0.26,13.0,0,False,40,75
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F1.png,data/split/test/FAMILY-13/FATHER/FM013_F5.png,FAMILY-13,FAMILY-13,FATHER,0.28,14.0,0,False,40,73
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F2.png,data/split/test/FAMILY-13/FATHER/FM013_F3.png,FAMILY-13,FAMILY-13,FATHER,0.3,15.0,0,False,62,68
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F2.png,data/split/test/FAMILY-13/FATHER/FM013_F4.png,FAMILY-13,FAMILY-13,FATHER,0.4,20.0,0,False,62,75
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F2.png,data/split/test/FAMILY-13/FATHER/FM013_F5.png,FAMILY-13,FAMILY-13,FATHER,0.32,16.0,0,False,62,73
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F3.png,data/split/test/FAMILY-13/FATHER/FM013_F4.png,FAMILY-13,FAMILY-13,FATHER,0.32,16.0,0,False,68,75
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F3.png,data/split/test/FAMILY-13/FATHER/FM013_F5.png,FAMILY-13,FAMILY-13,FATHER,0.34,17.0,0,False,68,73
genuine,1,data/split/test/FAMILY-13/FATHER/FM013_F4.png,data/split/test/FAMILY-13/FATHER/FM013_F5.png,FAMILY-13,FAMILY-13,FATHER,0.76,38.0,0,False,75,73
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M1.png,data/split/test/FAMILY-13/MOTHER/FM013_M2.png,FAMILY-13,FAMILY-13,MOTHER,0.3,15.0,0,False,63,65
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M1.png,data/split/test/FAMILY-13/MOTHER/FM013_M3.png,FAMILY-13,FAMILY-13,MOTHER,0.28,14.0,0,False,63,60
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M1.png,data/split/test/FAMILY-13/MOTHER/FM013_M4.png,FAMILY-13,FAMILY-13,MOTHER,0.4,20.0,0,False,63,51
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M1.png,data/split/test/FAMILY-13/MOTHER/FM013_M5.png,FAMILY-13,FAMILY-13,MOTHER,0.08,4.0,0,False,63,18
