family,member,image,distortion_type,clean_count,distorted_count,rectified_count,clean_quality,distorted_quality,rectified_quality,clean_endings,distorted_endings,rectified_endings,clean_bifurcations,distorted_bifurcations,rectified_bifurcations,distorted_matched,rectified_matched,distorted_match_rate,rectified_match_rate,distorted_mean_distance,rectified_mean_distance,distorted_median_distance,rectified_median_distance
FAMILY-13,CHILD,FM013_C1.png,elastic,57,53,43,0.3564385771751404,0.37379246950149536,0.41595351696014404,29,27,29,28,26,14,26,7,0.45614035087719296,0.12280701754385964,7.909011872915121,9.95421096256801,7.035533905029297,10.049875259399414
FAMILY-13,CHILD,FM013_C2.png,elastic,35,19,20,0.33471426367759705,0.32826313376426697,0.358599990606308,11,7,10,24,12,10,7,6,0.2,0.17142857142857143,10.418202570506505,5.836568117141724,12.083045959472656,3.864328384399414
FAMILY-13,CHILD,FM013_C3.png,elastic,23,4,12,0.3759130537509918,0.6325000524520874,0.5041666626930237,12,2,9,11,2,3,0,3,0.0,0.13043478260869565,,9.54758596420288,,10.198039054870605
FAMILY-13,CHILD,FM013_C4.png,elastic,11,4,3,0.4549999535083771,0.5637500286102295,0.2383333444595337,6,3,0,5,1,3,0,0,0.0,0.0,,,,
FAMILY-13,CHILD,FM013_C5.png,elastic,24,17,23,0.33916667103767395,0.37367647886276245,0.3347826302051544,8,7,4,16,10,19,11,13,0.4583333333333333,0.5416666666666666,7.927332119508223,7.4344111405886135,7.8102498054504395,6.7082037925720215
FAMILY-13,FATHER,FM013_F1.png,elastic,38,17,22,0.33694732189178467,0.4445294141769409,0.4609999656677246,16,11,16,22,6,6,9,4,0.23684210526315788,0.10526315789473684,10.098206520080566,9.8247572183609,9.486832618713379,10.043179273605347
FAMILY-13,FATHER,FM013_F2.png,elastic,48,47,58,0.32770833373069763,0.3859362006187439,0.3444138169288635,19,27,22,29,20,36,21,19,0.4375,0.3958333333333333,7.741506128084092,8.33823423636587,8.062257766723633,8.9442720413208
FAMILY-13,FATHER,FM013_F3.png,elastic,66,65,67,0.3696666955947876,0.37450772523880005,0.3917313516139984,29,27,31,37,38,36,24,25,0.36363636363636365,0.3787878787878788,7.583162660400073,10.414550895690917,8.206287622451782,11.045360565185547
FAMILY-13,FATHER,FM013_F4.png,elastic,71,76,54,0.3738451302051544,0.33593425154685974,0.37929630279541016,31,24,25,40,52,29,28,19,0.39436619718309857,0.2676056338028169,8.194030140127454,8.922374298698024,8.27376937866211,9.486832618713379
FAMILY-13,FATHER,FM013_F5.png,elastic,73,66,70,0.3346712589263916,0.3445000648498535,0.3296857178211212,24,20,21,49,46,49,28,27,0.3835616438356164,0.3698630136986301,8.368753893034798,9.717572689056396,8.028230428695679,9.219544410705566
FAMILY-13,MOTHER,FM013_M1.png,elastic,54,51,63,0.344870388507843,0.3195391893386841,0.39844444394111633,22,14,31,32,37,32,14,25,0.25925925925925924,0.46296296296296297,7.373256547110421,9.12786407470703,8.031128883361816,9.0
FAMILY-13,MOTHER,FM013_M2.png,elastic,55,59,52,0.3522000312805176,0.34528815746307373,0.34057697653770447,24,24,20,31,35,32,32,22,0.5818181818181818,0.4,8.8743547052145,8.898631339723414,9.757587432861328,10.172752857208252
FAMILY-13,MOTHER,FM013_M3.png,elastic,41,22,9,0.4008293151855469,0.38499996066093445,0.37522220611572266,23,12,5,18,10,4,12,4,0.2926829268292683,0.0975609756097561,8.821940461794535,10.973410606384277,8.07768726348877,9.974685192108154
FAMILY-13,MOTHER,FM013_M4.png,elastic,43,42,54,0.31823253631591797,0.34361904859542847,0.32001858949661255,13,14,20,30,28,34,16,19,0.37209302325581395,0.4418604651162791,8.741776257753372,7.306129681436639,9.741928100585938,7.0
FAMILY-13,MOTHER,FM013_M5.png,elastic,36,48,35,0.3846944570541382,0.32083332538604736,0.32748571038246155,18,22,11,18,26,24,12,13,0.3333333333333333,0.3611111111111111,9.79044802983602,7.628338538683378,10.621699810028076,7.211102485656738
FAMILY-14,CHILD,FM014_C1.png,elastic,70,70,61,0.47653573751449585,0.3597000539302826,0.37030333280563354,44,35,25,26,35,36,28,23,0.4,0.32857142857142857,9.176353429044996,9.204425018766653,9.353188514709473,9.433980941772461
FAMILY-14,CHILD,FM014_C2.png,elastic,44,76,68,0.3917500376701355,0.46388164162635803,0.42204412817955017,19,46,31,25,30,37,18,12,0.4090909090909091,0.2727272727272727,7.815284589926402,8.079930941263834,9.109772205352783,8.485281467437744
FAMILY-14,CHILD,FM014_C3.png,elastic,43,45,35,0.4699302911758423,0.37827780842781067,0.41831427812576294,25,22,19,18,23,16,26,11,0.6046511627906976,0.2558139534883721,7.351430553656358,7.2814648151397705,7.245606184005737,5.830951690673828
FAMILY-14,CHILD,FM014_C4.png,elastic,64,75,73,0.4580468535423279,0.3957066535949707,0.38070547580718994,38,30,33,26,45,40,26,23,0.40625,0.359375,8.577306940005375,8.823476241982501,8.773298740386963,9.05538558959961
FAMILY-14,CHILD,FM014_C5.png,elastic,80,69,70,0.5264874696731567,0.4254927933216095,0.3765143156051636,54,36,30,26,33,40,33,28,0.4125,0.35,7.9235373338063555,9.29182357447488,8.062257766723633,9.46040678024292
FAMILY-14,FATHER,FM014_F1.png,elastic,106,103,90,0.4269244968891144,0.37848547101020813,0.4057777523994446,42,31,35,64,72,55,47,43,0.44339622641509435,0.4056603773584906,8.82660681136111,9.158725220103596,8.246211051940918,10.0
FAMILY-14,FATHER,FM014_F2.png,elastic,10,6,4,0.4509999752044678,0.296999990940094,0.33550000190734863,8,2,2,2,4,2,1,0,0.1,0.0,13.0,,13.0,
FAMILY-14,FATHER,FM014_F3.png,elastic,24,8,5,0.4271666705608368,0.4124999940395355,0.38940000534057617,18,5,4,6,3,1,6,3,0.25,0.125,9.89815123875936,9.258407910664877,9.77200174331665,8.9442720413208
FAMILY-14,FATHER,FM014_F4.png,elastic,80,61,49,0.381012499332428,0.35200002789497375,0.38185715675354004,27,20,21,53,41,28,30,17,0.375,0.2125,7.640273324648539,8.401252746582031,7.141085147857666,7.071067810058594
FAMILY-14,FATHER,FM014_F5.png,elastic,89,84,22,0.45878657698631287,0.40346425771713257,0.43174993991851807,44,45,16,45,39,6,38,17,0.42696629213483145,0.19101123595505617,8.074292766420465,9.192266485270332,7.413437843322754,10.630146026611328
FAMILY-14,MOTHER,FM014_M1.png,elastic,76,44,38,0.31103944778442383,0.35524997115135193,0.3920920789241791,18,17,23,58,27,15,26,14,0.34210526315789475,0.18421052631578946,7.563457952095912,8.945034222943443,8.062257766723633,9.21699047088623
FAMILY-14,MOTHER,FM014_M2.png,elastic,24,23,9,0.37308335304260254,0.38404345512390137,0.2994444668292999,11,16,2,13,7,7,7,3,0.2916666666666667,0.125,9.183567932673864,7.32352089881897,9.219544410705566,5.0
FAMILY-14,MOTHER,FM014_M3.png,elastic,7,11,7,0.4085714519023895,0.48500001430511475,0.3378571569919586,3,7,2,4,4,5,1,1,0.14285714285714285,0.14285714285714285,14.764822959899902,14.764822959899902,14.764822959899902,14.764822959899902
FAMILY-14,MOTHER,FM014_M4.png,elastic,59,39,27,0.30222031474113464,0.3644101917743683,0.32674071192741394,12,21,12,47,18,15,12,13,0.2033898305084746,0.22033898305084745,7.596894294023514,8.057941381747906,6.082762718200684,7.6157732009887695
FAMILY-14,MOTHER,FM014_M5.png,elastic,44,22,28,0.4302500784397125,0.48749998211860657,0.43567854166030884,32,20,21,12,2,7,5,5,0.11363636363636363,0.11363636363636363,8.564649772644042,9.951541233062745,9.486832618713379,8.062257766723633
